ANY_CLUSTER,ANY_CONT_OT_CASE,CASE_F_CLASS,CASE_F_O,CASE_UID1,COVID_HIST,DIST_CASE_RESI,FIN_LAB_RESU,NATL,NEAR_LMK,PREG_CASE_FEM,PRES_SYMP,RECE_TRAV_HIST,REPR_FACI,REPR_DIST,SEX,S_COND,S_TYP,TEST_PLAT,TRIM,TYP_CASE,TYP_REPR_DISE_COND,TYP_O_TESTS_PERF,U_CONDS,VACC_TYP_VAC,VACC,DIST_CASE_RESI_TYP,OCCU
,,,,,,MW-ZO,,Scottish,,,,,1113,MW-ZO,,,,,,,,,,,,,
,,,,,,,,South African,,,,,1210,,,,,,,,,,,,,,
,,,,,,,,South Korean,,,,,1307,,,,,,,,,,,,,,
,,,,,,,,Tanzanian,,,,,1313,,,,,,,,,,,,,,
,,,,,,,,Zambian,,,,,1335,,,,,,,,,,,,,,
,,,,,,,,Zimbabwean,,,,,1336,,,,,,,,,,,,,,
,,,,,,,,,,,,,1415,,,,,,,,,,,,,,
,,,,,,,,,,,,,1503,,,,,,,,,,,,,,
,,,,,,,,,,,,,1514,,,,,,,,,,,,,,
,,,,,,,,,,,,,1519,,,,,,,,,,,,,,
,,,,,,,,,,,,,1530,,,,,,,,,,,,,,
,,,,,,,,,,,,,1533,,,,,,,,,,,,,,
,,,,,,,,,,,,,1596,,,,,,,,,,,,,,
,,,,,,,,,,,,,1603,,,,,,,,,,,,,,
,,,,,,,,,,,,,1607,,,,,,,,,,,,,,
,,,,,,,,,,,,,1608,,,,,,,,,,,,,,
,,,,,,,,,,,,,1609,,,,,,,,,,,,,,
,,,,,,,,,,,,,1618,,,,,,,,,,,,,,
,,,,,,,,,,,,,1707,,,,,,,,,,,,,,
,,,,,,,,,,,,,1717,,,,,,,,,,,,,,
,,,,,,,,,,,,,1719,,,,,,,,,,,,,,
,,,,,,,,,,,,,1723,,,,,,,,,,,,,,
,,,,,,,,,,,,,1735,,,,,,,,,,,,,,
,,,,,,,,,,,,,1825,,,,,,,,,,,,,,
,,,,,,,,,,,,,1827,,,,,,,,,,,,,,
,,,,,,,,,,,,,1836,,,,,,,,,,,,,,
,,,,,,,,,,,,,2516,,,,,,,,,,,,,,
,,,,,,,,,,,,,2517,,,,,,,,,,,,,,
,,,,,,,,,,,,,2520,,,,,,,,,,,,,,
,,,,,,,,,,,,,2523,,,,,,,,,,,,,,
,,,,,,,,,,,,,2531,,,,,,,,,,,,,,
,,,,,,,,,,,,,2605,,,,,,,,,,,,,,
,,,,,,,,,,,,,2705,,,,,,,,,,,,,,
,,,,,,,,,,,,,2706,,,,,,,,,,,,,,
,,,,,,,,,,,,,2710,,,,,,,,,,,,,,
,,,,,,,,,,,,,2712,,,,,,,,,,,,,,
,,,,,,,,,,,,,2718,,,,,,,,,,,,,,
,,,,,,,,,,,,,2719,,,,,,,,,,,,,,
,,,,,,,,,,,,,2722,,,,,,,,,,,,,,
,,,,,,,,,,,,,2723,,,,,,,,,,,,,,
,,,,,,,,,,,,,2801,,,,,,,,,,,,,,
,,,,,,,,,,,,,2808,,,,,,,,,,,,,,
,,,,,,,,,,,,,2926,,,,,,,,,,,,,,
,,,,,,,,,,,,,3106,,,,,,,,,,,,,,
,,,,,,,,,,,,,3119,,,,,,,,,,,,,,
,,,,,,,,,,,,,3121,,,,,,,,,,,,,,
,,,,,,,,,,,,,3211,,,,,,,,,,,,,,
,,,,,,,,,,,,,3217,,,,,,,,,,,,,,
,,,,,,,,,,,,,3303,,,,,,,,,,,,,,
,,,,,,,,,,,,,3315,,,,,,,,,,,,,,
,,,,,,,,,,,,,3402,,,,,,,,,,,,,,
,,,,,,,,,,,,,3409,,,,,,,,,,,,,,
,,,,,,,,,,,,,3424,,,,,,,,,,,,,,
,,,,,,,,,,,,,3509,,,,,,,,,,,,,,
,,,,,,,,,,,,,3520,,,,,,,,,,,,,,
,,,,,,,,,,,,,3601,,,,,,,,,,,,,,
,,,,,,,,,,,,,3703,,,,,,,,,,,,,,
,,,,,,,,,,,,,3709,,,,,,,,,,,,,,
,,,,,,,,,,,,,3801,,,,,,,,,,,,,,
,,,,,,,,,,,,,4077,,,,,,,,,,,,,,
,,,,,,,,,,,,,4078,,,,,,,,,,,,,,
,,,,,,,,,,,,,5039,,,,,,,,,,,,,,
,,,,,,,,,,,,,5076,,,,,,,,,,,,,,
